Variables,Importance
results_ktlint_None_string-template,-0.0067
results_ktlint_None_parameter-list-wrapping,-0.0024
results_ktlint_None_no-blank-line-before-rbrace,-0.0018
results_ktlint_None_keyword-spacing,-0.0011
results_ktlint_None_op-spacing,-0.0010
results_ktlint_None_paren-spacing,-0.0009
results_ktlint_None_no-empty-class-body,-0.0005
results_ktlint_None_range-spacing,0.0000
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_no-unit-return,0.0004
results_ktlint_None_,0.0011
results_ktlint_None_no-semi,0.0023
results_ktlint_None_comma-spacing,0.0030
results_ktlint_None_no-unused-imports,0.0058
results_ktlint_None_no-multi-spaces,0.0060
results_ktlint_None_comment-spacing,0.0060
results_ktlint_None_no-line-break-before-assignment,0.0062
results_ktlint_None_no-consecutive-blank-lines,0.0062
results_ktlint_None_modifier-order,0.0079
results_ktlint_None_chain-wrapping,0.0093
results_ktlint_None_dot-spacing,0.0099
results_ktlint_None_colon-spacing,0.0107
results_ktlint_None_final-newline,0.0131
results_ktlint_None_curly-spacing,0.0185
results_ktlint_None_no-trailing-spaces,0.0197
results_ktlint_None_import-ordering,0.0213
results_ktlint_None_indent,0.0302
results_ktlint_None_no-wildcard-imports,0.0478
