Variables,Importance
results_ktlint_None_final-newline,-0.0251
results_ktlint_None_modifier-order,-0.0174
results_ktlint_None_paren-spacing,-0.0161
results_ktlint_None_indent,-0.0156
results_ktlint_None_no-consecutive-blank-lines,-0.0116
results_ktlint_None_chain-wrapping,-0.0095
results_ktlint_None_op-spacing,-0.0058
results_ktlint_None_parameter-list-wrapping,-0.0046
results_ktlint_None_no-multi-spaces,-0.0039
results_ktlint_None_no-trailing-spaces,-0.0024
results_ktlint_None_no-line-break-before-assignment,-0.0021
results_ktlint_None_no-unused-imports,-0.0019
results_ktlint_None_colon-spacing,-0.0003
results_ktlint_None_no-unit-return,-0.0001
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_,0.0005
results_ktlint_None_dot-spacing,0.0018
results_ktlint_None_curly-spacing,0.0018
results_ktlint_None_comment-spacing,0.0025
results_ktlint_None_import-ordering,0.0034
results_ktlint_None_range-spacing,0.0048
results_ktlint_None_no-wildcard-imports,0.0049
results_ktlint_None_no-semi,0.0056
results_ktlint_None_no-blank-line-before-rbrace,0.0059
results_ktlint_None_no-empty-class-body,0.0082
results_ktlint_None_string-template,0.0119
results_ktlint_None_keyword-spacing,0.0153
results_ktlint_None_comma-spacing,0.0187
