Variables,Importance
results_ktlint_None_colon-spacing,-0.0275
results_ktlint_None_no-consecutive-blank-lines,-0.0217
results_ktlint_None_no-semi,-0.0214
results_ktlint_None_comment-spacing,-0.0184
results_ktlint_None_curly-spacing,-0.0181
results_ktlint_None_no-wildcard-imports,-0.0172
results_ktlint_None_no-empty-class-body,-0.0090
results_ktlint_None_,-0.0084
results_ktlint_None_parameter-list-wrapping,-0.0074
results_ktlint_None_final-newline,-0.0070
results_ktlint_None_modifier-order,-0.0054
results_ktlint_None_string-template,-0.0051
results_ktlint_None_comma-spacing,-0.0035
results_ktlint_None_no-line-break-before-assignment,-0.0029
results_ktlint_None_paren-spacing,-0.0008
results_ktlint_None_range-spacing,-0.0005
results_ktlint_None_dot-spacing,0.0000
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_no-multi-spaces,0.0002
results_ktlint_None_no-unused-imports,0.0003
results_ktlint_None_no-unit-return,0.0008
results_ktlint_None_import-ordering,0.0025
results_ktlint_None_chain-wrapping,0.0030
results_ktlint_None_no-trailing-spaces,0.0035
results_ktlint_None_op-spacing,0.0036
results_ktlint_None_no-blank-line-before-rbrace,0.0072
results_ktlint_None_keyword-spacing,0.0243
results_ktlint_None_indent,0.0409
