Variables,Importance
results_flawfinder_note_misc-fopen,-0.0176
results_flawfinder_note_obsolete-usleep,-0.0151
results_flawfinder_note_format-snprintf,-0.0148
results_flawfinder_note_buffer-sscanf,-0.0147
results_flawfinder_note_integer-atoi,-0.0115
results_flawfinder_note_buffer-strncpy,-0.0096
results_flawfinder_error_buffer-sprintf,-0.0074
results_flawfinder_note_format-fprintf,-0.0071
results_flawfinder_note_buffer-wchar_t,-0.0064
results_flawfinder_note_buffer-strcpy,-0.0063
results_flawfinder_note_buffer-MultiByteToWideChar,-0.0062
results_flawfinder_warning_random-random,-0.0054
results_flawfinder_warning_buffer-getenv,-0.0019
results_flawfinder_note_input-recv,-0.0019
results_flawfinder_error_format-sprintf,-0.0016
results_flawfinder_note_tmpfile-tmpfile,-0.0015
results_flawfinder_note_tmpfile-mkstemp,-0.0015
results_flawfinder_error_shell-system,-0.0014
results_flawfinder_warning_misc-InitializeCriticalSection,-0.0014
results_flawfinder_error_buffer-strcat,-0.0013
results_flawfinder_error_race-access,-0.0012
results_flawfinder_warning_random-setstate,-0.0011
results_flawfinder_error_format-fprintf,-0.0008
results_flawfinder_warning_random-srand,-0.0005
results_flawfinder_error_shell-ShellExecute,0.0000
results_flawfinder_note_buffer-getc,0.0000
results_flawfinder_note_buffer-_tcsncpy,0.0000
results_flawfinder_note_buffer-_tcslen,0.0000
results_flawfinder_note_format-_sntprintf,0.0000
results_flawfinder_note_format-wprintf,0.0000
results_flawfinder_error_format-swprintf,0.0000
results_flawfinder_error_buffer-StrCpyNA,0.0000
results_flawfinder_warning_misc-AddAccessAllowedAce,0.0000
results_flawfinder_error_buffer-lstrcat,0.0000
results_flawfinder_note_buffer-CopyMemory,0.0000
results_flawfinder_warning_shell-CreateProcess,0.0000
results_flawfinder_warning_misc-LoadLibraryEx,0.0000
results_flawfinder_error_buffer-lstrcpy,0.0000
results_flawfinder_error_format-vsprintf,0.0000
results_flawfinder_error_buffer-swprintf,0.0000
results_flawfinder_note_buffer-swprintf,0.0000
results_flawfinder_note_buffer-TCHAR,0.0000
results_flawfinder_note_buffer-_tcscat,0.0000
results_flawfinder_error_shell-WinExec,0.0000
results_flawfinder_error_access-RpcImpersonateClient,0.0000
results_flawfinder_error_buffer-StrCatA,0.0000
results_flawfinder_note_buffer-wcscpy,0.0000
results_flawfinder_error_buffer-_tcscat,0.0000
results_flawfinder_error_buffer-_tcscpy,0.0000
results_flawfinder_error_buffer-StrCatBuffW,0.0000
results_flawfinder_warning_misc-chroot,0.0000
results_flawfinder_note_input-readv,0.0000
results_flawfinder_error_misc-SetSecurityDescriptorDacl,0.0000
results_flawfinder_error_shell-execlp,0.0000
results_flawfinder_error_buffer-vsscanf,0.0000
results_flawfinder_note_format-vsnprintf,0.0000
results_flawfinder_error_race-chown,0.0000
results_flawfinder_note_buffer-fscanf,0.0000
results_flawfinder_note_buffer-scanf,0.0000
results_flawfinder_error_format-syslog,0.0000
results_flawfinder_note_format-vfprintf,0.0000
results_flawfinder_warning_random-srandom,0.0000
results_flawfinder_error_buffer-StrCpyA,0.0000
results_flawfinder_error_format-vprintf,0.0000
results_flawfinder_note_format-syslog,0.0000
results_flawfinder_warning_buffer-getopt_long,0.0000
results_flawfinder_error_shell-execl,0.0000
results_flawfinder_note_input-recvfrom,0.0000
results_flawfinder_error_access-ImpersonateSecurityContext,0.0000
results_flawfinder_error_buffer-StrCatChainW,0.0000
results_flawfinder_note_buffer-lstrcpyn,0.0000
results_flawfinder_error_buffer-sscanf,0.0000
results_flawfinder_note_format-_snprintf,0.0000
results_flawfinder_error_shell-popen,0.0000
results_flawfinder_error_crypto-crypt,0.0000
results_flawfinder_note_format-fwprintf,0.0000
results_flawfinder_note_format-vprintf,0.0000
results_flawfinder_warning_shell-CreateProcessAsUser,0.0000
results_flawfinder_error_buffer-MultiByteToWideChar,0.0000
results_flawfinder_note_buffer-wcscat,0.0000
results_flawfinder_error_buffer-scanf,0.0000
results_flawfinder_note_buffer-wcsncpy,0.0000
results_flawfinder_error_format-vfprintf,0.0000
results_flawfinder_note_buffer-strncat,0.0000
results_flawfinder_error_access-ImpersonateLoggedOnUser,0.0000
results_flawfinder_error_shell-execv,0.0000
results_flawfinder_note_integer-atol,0.0000
results_flawfinder_warning_tmpfile-GetTempFileName,0.0000
results_flawfinder_error_buffer-lstrcpyW,0.0000
results_flawfinder_warning_buffer-realpath,0.0000
results_flawfinder_error_buffer-gets,0.0000
results_flawfinder_note_buffer-mismatch,0.0000
results_flawfinder_error_buffer-wcscat,0.0000
results_flawfinder_error_tmpfile-mktemp,0.0000
results_flawfinder_error_race-readlink,0.0000
results_flawfinder_error_format-vsnprintf,0.0000
results_flawfinder_note_access-umask,0.0000
results_flawfinder_error_race-chmod,0.0000
results_flawfinder_warning_misc-LoadLibrary,0.0000
results_flawfinder_error_buffer-lstrcpynW,0.0000
results_flawfinder_note_buffer-getchar,0.0000
results_flawfinder_error_format-wprintf,0.0000
results_flawfinder_note_format-swprintf,0.0000
results_flawfinder_error_buffer-fscanf,0.0000
results_flawfinder_error_buffer-lstrcatW,0.0000
results_flawfinder_error_buffer-lstrcatA,0.0000
results_flawfinder_note_format-sprintf,0.0000
results_flawfinder_error_buffer-strcpyW,0.0000
results_flawfinder_note_integer-_wtoi,0.0000
results_flawfinder_error_buffer-vsprintf,0.0000
results_flawfinder_error_buffer-vfwscanf,0.0000
results_flawfinder_error_format-_snprintf,0.0000
results_flawfinder_error_format-vswprintf,0.0000
results_flawfinder_error_buffer-lstrcpyA,0.0000
results_flawfinder_error_buffer-vwscanf,0.0000
results_flawfinder_note_format-vsprintf,0.0000
results_flawfinder_note_buffer-fgetc,0.0000
results_flawfinder_warning_tmpfile-tmpnam,0.0000
results_flawfinder_note_buffer-wcsncat,0.0000
results_flawfinder_error_buffer-lstrcpynA,0.0000
results_flawfinder_error_format-fwprintf,0.0000
results_flawfinder_note_buffer-strcat,0.0001
results_flawfinder_error_buffer-strcpy,0.0007
results_flawfinder_error_buffer-wcscpy,0.0011
results_flawfinder_note_input-fread,0.0047
results_flawfinder_note_buffer-wcslen,0.0059
results_flawfinder_error_format-snprintf,0.0067
results_flawfinder_error_format-printf,0.0073
results_flawfinder_note_buffer-sprintf,0.0108
results_flawfinder_warning_buffer-getopt,0.0172
results_flawfinder_note_buffer-memcpy,0.0176
results_flawfinder_note_buffer-equal,0.0269
results_flawfinder_note_buffer-strlen,0.0287
results_flawfinder_note_format-printf,0.0347
results_flawfinder_note_misc-open,0.0349
results_flawfinder_note_buffer-read,0.0412
results_flawfinder_note_buffer-char,0.0913
