Issue,Importance
results_HLint_Warning_Using-foldr1-on-tuple,0.00000000
results_HLint_Warning_Use-mkWeakPair,0.00000000
results_HLint_Warning_Using-and-on-tuple,0.00000000
results_HLint_Warning_Redundant->>,0.00000000
results_HLint_Warning_Use-isAsciiLower,0.00000000
results_HLint_Suggestion_Use-sqrt,0.00000000
results_HLint_Warning_Use-sequence,0.00000000
results_HLint_Suggestion_Use-ap,0.00000000
results_HLint_Suggestion_Redundant-if,0.00000000
results_HLint_Warning_Use-mkWeakPtr,0.00000000
results_HLint_Warning_Using-foldr'-on-tuple,0.00000000
results_HLint_Suggestion_Use-handleJust,0.00000000
results_HLint_Suggestion_Use-catchJust,0.00000000
results_HLint_Warning_Use-mapAndUnzipM,0.00000000
results_HLint_Warning_Redundant-$,0.00000000
results_HLint_Warning_Using-maximum-on-tuple,0.00000000
results_HLint_Warning_Use-insert,0.00000000
results_HLint_Warning_Use-nestedAtomically,0.00000000
results_HLint_Warning_Use-lefts,0.00000000
results_HLint_Warning_Using-sum-on-tuple,0.00000000
results_HLint_Warning_Use-sequenceA_,0.00000000
results_HLint_Suggestion_Use-showOct,0.00000000
results_HLint_Suggestion_Use-join,0.00000000
results_HLint_Warning_Use-<**>,0.00000000
results_HLint_Warning_Using-toList-on-tuple,0.00000000
results_HLint_Warning_Use-delete,0.00000000
results_HLint_Warning_Using-product-on-tuple,0.00000000
results_HLint_Warning_Using-concat-on-tuple,0.00000000
results_HLint_Warning_Using-foldl-on-tuple,0.00000000
results_HLint_Warning_Use-sort,0.00000000
results_HLint_Warning_Use-union,0.00000000
results_HLint_Suggestion_Use-withBinaryFile,0.00000000
results_HLint_Warning_Use-maximumBy,0.00000000
results_HLint_Warning_Use->>=,0.00000000
results_HLint_Warning_Using-foldl'-on-tuple,0.00000000
results_HLint_Warning_Use-asum,0.00000000
results_HLint_Warning_Use-intersect,0.00000000
results_HLint_Warning_Use-foldl,0.00000000
results_HLint_Warning_Use-putChar,0.00000000
results_HLint_Suggestion_Use-1,0.00000000
results_HLint_Warning_Using-any-on-tuple,0.00000000
results_HLint_Warning_Using-foldr-on-tuple,0.00000000
results_HLint_Warning_Using-elem-on-tuple,0.00000000
results_HLint_Warning_Use-isOctDigit,0.00000000
results_HLint_Warning_Use-product,0.00000000
results_HLint_Warning_Using-foldMap-on-tuple,0.00000000
results_HLint_Suggestion_Redundant-/=,0.00000000
results_HLint_Suggestion_Fuse-on/on,0.00000000
results_HLint_Warning_Use-unlines,0.00000000
results_HLint_Warning_Use-foldr,0.00000000
results_HLint_Suggestion_Use-writeList2Chan,0.00000000
results_HLint_Suggestion_Use-logBase,0.00000000
results_HLint_Suggestion_Use--,0.00000000
results_HLint_Warning_Use-rights,0.00000000
results_HLint_Warning_Using-all-on-tuple,0.00000000
results_HLint_Warning_Redundant-void,0.00000001
results_HLint_Warning_Use-show,0.00000000
results_HLint_Warning_Use-getLine,0.00000000
results_HLint_Warning_Use-foldr1,0.00000000
results_HLint_Warning_Redundant-negate,0.00000000
results_HLint_Warning_Use-foldl1,0.00000000
results_HLint_Warning_Using-or-on-tuple,0.00000000
results_HLint_Warning_Use-msum,0.00000000
results_HLint_Warning_Use-<,0.00000000
results_HLint_Suggestion_Redundant-pair,0.00000000
results_HLint_Warning_Use-=<<,0.00000000
results_HLint_Warning_Use-takeWhile,0.00000000
results_HLint_Suggestion_Use-mapM_,0.00000000
results_HLint_Warning_Use-getChar,0.00000000
results_HLint_Suggestion_Use-catch,0.00000000
results_HLint_Warning_Use-isEOF,0.00000000
results_HLint_Suggestion_Length-always-non-negative,0.00000000
results_HLint_Warning_Use-snd,0.00000000
results_HLint_Warning_Use-reads,0.00000000
results_HLint_Warning_Redundant-not,0.00000000
results_HLint_Warning_Use-zip3,0.00000000
results_HLint_Warning_Use->=,0.00000000
results_HLint_Warning_Use-nonTermination,0.00000000
results_HLint_Suggestion_Use-unzip,0.00000000
results_HLint_Warning_Fuse-traverse/map,0.00000000
results_HLint_Suggestion_Use-TH-quotation-brackets,0.00000000
results_HLint_Warning_Use-LANGUAGE-pragmas,0.00000000
results_HLint_Warning_Use-fold,0.00000000
