Variables;Importance
results_ktlint_None_comment-spacing;-0.0250
results_ktlint_None_no-consecutive-blank-lines;-0.0228
results_ktlint_None_no-semi;-0.0181
results_ktlint_None_no-unit-return;-0.0172
results_ktlint_None_no-line-break-before-assignment;-0.0091
results_ktlint_None_no-wildcard-imports;-0.0082
results_ktlint_None_no-unused-imports;-0.0081
results_ktlint_None_curly-spacing;-0.0068
results_ktlint_None_no-line-break-after-else;-0.0067
results_ktlint_None_range-spacing;-0.0040
results_ktlint_None_modifier-order;-0.0039
results_ktlint_None_no-multi-spaces;-0.0000
results_ktlint_None_op-spacing;0.0035
results_ktlint_None_string-template;0.0053
results_ktlint_None_keyword-spacing;0.0054
results_ktlint_None_final-newline;0.0090
results_ktlint_None_dot-spacing;0.0118
results_ktlint_None_chain-wrapping;0.0121
results_ktlint_None_colon-spacing;0.0137
results_ktlint_None_no-blank-line-before-rbrace;0.0156
results_ktlint_None_parameter-list-wrapping;0.0162
results_ktlint_None_paren-spacing;0.0193
results_ktlint_None_no-empty-class-body;0.0202
results_ktlint_None_comma-spacing;0.0253
results_ktlint_None_indent;0.0300
results_ktlint_None_import-ordering;0.0317
results_ktlint_None_no-trailing-spaces;0.0328
results_ktlint_None_;0.0440
