Variables,Importance
results_ktlint_None_no-empty-class-body,-0.0083
results_ktlint_None_no-line-break-before-assignment,-0.0060
results_ktlint_None_no-semi,-0.0044
results_ktlint_None_no-consecutive-blank-lines,-0.0024
results_ktlint_None_paren-spacing,-0.0021
results_ktlint_None_string-template,-0.0018
results_ktlint_None_import-ordering,-0.0006
results_ktlint_None_no-trailing-spaces,-0.0005
results_ktlint_None_range-spacing,0.0000
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_final-newline,0.0004
results_ktlint_None_comment-spacing,0.0018
results_ktlint_None_no-unused-imports,0.0020
results_ktlint_None_modifier-order,0.0029
results_ktlint_None_colon-spacing,0.0031
results_ktlint_None_chain-wrapping,0.0039
results_ktlint_None_no-blank-line-before-rbrace,0.0039
results_ktlint_None_no-unit-return,0.0044
results_ktlint_None_comma-spacing,0.0050
results_ktlint_None_no-multi-spaces,0.0061
results_ktlint_None_curly-spacing,0.0090
results_ktlint_None_,0.0130
results_ktlint_None_op-spacing,0.0139
results_ktlint_None_dot-spacing,0.0150
results_ktlint_None_parameter-list-wrapping,0.0168
results_ktlint_None_keyword-spacing,0.0191
results_ktlint_None_indent,0.0240
results_ktlint_None_no-wildcard-imports,0.0361
