Issue,Importance
results_HLint_Warning_Use-mconcat,0.00000121
"results_HLint_Warning_Monoid-law,-left-identity",-0.00000046
results_HLint_Warning_Redundant-compare,0.00000000
results_HLint_Warning_Use-empty,0.00000123
results_HLint_Suggestion_Use-maybe,0.00000004
results_HLint_Warning_Use-maximum,0.00000000
results_HLint_Warning_Use-<|>,0.00000000
results_HLint_Warning_Use-break,0.00000000
results_HLint_Warning_Use-$,0.00000000
results_HLint_Suggestion_Redundant-==,0.00000001
results_HLint_Suggestion_Use-lambda,0.00000000
results_HLint_Suggestion_Redundant-list-comprehension,0.00000000
results_HLint_Suggestion_Use-forM,0.00000000
results_HLint_Warning_Using-fold-on-tuple,0.00000000
results_HLint_Warning_Use-shows,0.00000000
"results_HLint_Suggestion_Use-(,,)",0.00000000
results_HLint_Warning_Use-for,0.00000000
results_HLint_Warning_Use-hPrint,0.00000038
results_HLint_Warning_Redundant-seq,0.00000000
results_HLint_Warning_Redundant-$!,-0.00000017
results_HLint_Warning_Redundant-<&>,0.00000000
results_HLint_Warning_Missing-NOINLINE-pragma,0.00000000
results_HLint_Warning_Use-fromLeft,0.00000115
results_HLint_Warning_Use-zip,-0.00000005
results_HLint_Warning_Use-group,0.00000000
results_HLint_Warning_Redundant-fromIntegral,0.00000000
results_HLint_Warning_Redundant-maybe,0.00000000
results_HLint_Suggestion_Use-otherwise,0.00000000
results_HLint_Warning_Use-elemIndices,0.00000000
results_HLint_Warning_Use-sequence_,0.00000000
results_HLint_Warning_Use->>,0.00000000
results_HLint_Warning_Use-nub,0.00000000
results_HLint_Warning_Use-either,0.00000000
"results_HLint_Suggestion_Use-(,)",-0.00000003
results_HLint_Warning_Use-repeat,-0.00000001
results_HLint_Warning_Use-span,0.00000006
results_HLint_Warning_Use-traverse,0.00000000
results_HLint_Suggestion_Use-error,0.00000000
results_HLint_Suggestion_Use-odd,0.00000000
results_HLint_Warning_Use-minimum,0.00000000
results_HLint_Suggestion_Use-withFile,0.00000000
results_HLint_Warning_Used-otherwise-as-a-pattern,0.00000000
results_HLint_Warning_Use-sum,0.00000000
results_HLint_Warning_Redundant-curry,0.00000000
results_HLint_Warning_Use-execState,0.00000000
results_HLint_Suggestion_Use-showHex,0.00000000
results_HLint_Suggestion_Use-bracket_,0.00000000
results_HLint_Warning_Use-hReady,0.00000000
results_HLint_Suggestion_Use-tan,0.00000000
results_HLint_Suggestion_Move-flip,0.00000000
results_HLint_Warning_Using-minimum-on-tuple,0.00000000
results_HLint_Suggestion_Use-floor,0.00000000
results_HLint_Warning_Using-foldl1-on-tuple,0.00000000
results_HLint_Suggestion_Use-mapM,0.00000000
results_HLint_Warning_Using-foldr1-on-tuple,0.00000000
results_HLint_Warning_Use-mkWeakPair,0.00000000
results_HLint_Warning_Using-and-on-tuple,0.00000000
results_HLint_Warning_Redundant->>,0.00000000
results_HLint_Warning_Use-isAsciiLower,0.00000000
results_HLint_Suggestion_Use-sqrt,0.00000000
results_HLint_Warning_Use-sequence,0.00000000
results_HLint_Suggestion_Use-ap,0.00000000
results_HLint_Suggestion_Redundant-if,0.00000000
results_HLint_Warning_Use-mkWeakPtr,0.00000000
results_HLint_Warning_Using-foldr'-on-tuple,0.00000000
results_HLint_Suggestion_Use-handleJust,0.00000000
results_HLint_Suggestion_Use-catchJust,0.00000000
results_HLint_Warning_Use-mapAndUnzipM,-0.00000000
results_HLint_Warning_Redundant-$,0.00000000
results_HLint_Warning_Using-maximum-on-tuple,0.00000000
results_HLint_Warning_Use-insert,0.00000000
results_HLint_Warning_Use-nestedAtomically,0.00000000
results_HLint_Warning_Use-lefts,0.00000000
results_HLint_Warning_Using-sum-on-tuple,0.00000000
results_HLint_Warning_Use-sequenceA_,0.00000000
results_HLint_Suggestion_Use-showOct,0.00000000
results_HLint_Suggestion_Use-join,0.00000000
results_HLint_Warning_Use-<**>,0.00000000
results_HLint_Warning_Using-toList-on-tuple,0.00000000
results_HLint_Warning_Use-delete,0.00000000
results_HLint_Warning_Using-product-on-tuple,0.00000000
results_HLint_Warning_Using-concat-on-tuple,0.00000000
results_HLint_Warning_Using-foldl-on-tuple,0.00000000
results_HLint_Warning_Use-sort,0.00000000
results_HLint_Warning_Use-union,0.00000000
results_HLint_Suggestion_Use-withBinaryFile,0.00000000
results_HLint_Warning_Use-maximumBy,0.00000000
results_HLint_Warning_Use->>=,0.00000000
results_HLint_Warning_Using-foldl'-on-tuple,0.00000000
results_HLint_Warning_Use-asum,0.00000000
results_HLint_Warning_Use-intersect,0.00000000
results_HLint_Warning_Use-foldl,0.00000000
results_HLint_Warning_Use-putChar,0.00000000
results_HLint_Suggestion_Use-1,0.00000000
results_HLint_Warning_Using-any-on-tuple,0.00000000
results_HLint_Warning_Using-foldr-on-tuple,0.00000000
results_HLint_Warning_Using-elem-on-tuple,0.00000000
results_HLint_Warning_Use-isOctDigit,0.00000000
results_HLint_Warning_Use-product,0.00000000
results_HLint_Warning_Using-foldMap-on-tuple,0.00000000
results_HLint_Suggestion_Redundant-/=,0.00000000
results_HLint_Suggestion_Fuse-on/on,0.00000000
results_HLint_Warning_Use-unlines,0.00000000
results_HLint_Warning_Use-foldr,0.00000000
results_HLint_Suggestion_Use-writeList2Chan,0.00000000
results_HLint_Suggestion_Use-logBase,0.00000000
results_HLint_Suggestion_Use--,0.00000000
results_HLint_Warning_Use-rights,0.00000000
results_HLint_Warning_Using-all-on-tuple,0.00000000
results_HLint_Warning_Redundant-void,-0.00000002
results_HLint_Warning_Use-show,0.00000000
results_HLint_Warning_Use-getLine,0.00000000
results_HLint_Warning_Use-foldr1,0.00000000
results_HLint_Warning_Redundant-negate,0.00000000
results_HLint_Warning_Use-foldl1,0.00000000
results_HLint_Warning_Using-or-on-tuple,0.00000000
results_HLint_Warning_Use-msum,0.00000000
results_HLint_Warning_Use-<,0.00000000
results_HLint_Suggestion_Redundant-pair,0.00000000
results_HLint_Warning_Use-=<<,0.00000000
results_HLint_Warning_Use-takeWhile,0.00000000
results_HLint_Suggestion_Use-mapM_,0.00000000
results_HLint_Warning_Use-getChar,0.00000000
results_HLint_Suggestion_Use-catch,0.00000000
results_HLint_Warning_Use-isEOF,0.00000000
results_HLint_Suggestion_Length-always-non-negative,0.00000000
results_HLint_Warning_Use-snd,0.00000000
results_HLint_Warning_Use-reads,0.00000000
results_HLint_Warning_Redundant-not,0.00000000
results_HLint_Warning_Use-zip3,0.00000000
results_HLint_Warning_Use->=,0.00000000
results_HLint_Warning_Use-nonTermination,0.00000000
results_HLint_Suggestion_Use-unzip,0.00000000
results_HLint_Warning_Fuse-traverse/map,0.00000000
results_HLint_Suggestion_Use-TH-quotation-brackets,0.00000000
results_HLint_Warning_Use-LANGUAGE-pragmas,0.00000000
results_HLint_Warning_Use-fold,0.00000000
