Variables;Importance
results_ktlint_None_no-multi-spaces;-0.0464
results_ktlint_None_chain-wrapping;-0.0278
results_ktlint_None_no-unit-return;-0.0268
results_ktlint_None_parameter-list-wrapping;-0.0268
results_ktlint_None_paren-spacing;-0.0199
results_ktlint_None_modifier-order;-0.0135
results_ktlint_None_curly-spacing;-0.0112
results_ktlint_None_op-spacing;-0.0089
results_ktlint_None_no-wildcard-imports;-0.0080
results_ktlint_None_no-line-break-after-else;-0.0050
results_ktlint_None_comma-spacing;-0.0036
results_ktlint_None_keyword-spacing;-0.0028
results_ktlint_None_no-empty-class-body;-0.0027
results_ktlint_None_colon-spacing;-0.0025
results_ktlint_None_dot-spacing;-0.0004
results_ktlint_None_no-semi;0.0050
results_ktlint_None_range-spacing;0.0057
results_ktlint_None_string-template;0.0059
results_ktlint_None_no-blank-line-before-rbrace;0.0059
results_ktlint_None_no-trailing-spaces;0.0061
results_ktlint_None_no-unused-imports;0.0103
results_ktlint_None_comment-spacing;0.0109
results_ktlint_None_no-line-break-before-assignment;0.0135
results_ktlint_None_final-newline;0.0168
results_ktlint_None_import-ordering;0.0206
results_ktlint_None_no-consecutive-blank-lines;0.0262
results_ktlint_None_;0.0365
results_ktlint_None_indent;0.0544
