Variables,Importance
results_ktlint_None_colon-spacing,-0.0172
results_ktlint_None_parameter-list-wrapping,-0.0086
results_ktlint_None_curly-spacing,-0.0044
results_ktlint_None_keyword-spacing,-0.0042
results_ktlint_None_chain-wrapping,-0.0038
results_ktlint_None_,-0.0033
results_ktlint_None_comma-spacing,-0.0028
results_ktlint_None_range-spacing,-0.0013
results_ktlint_None_string-template,-0.0009
results_ktlint_None_modifier-order,-0.0007
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_no-line-break-before-assignment,0.0015
results_ktlint_None_no-semi,0.0020
results_ktlint_None_no-consecutive-blank-lines,0.0024
results_ktlint_None_dot-spacing,0.0034
results_ktlint_None_no-blank-line-before-rbrace,0.0042
results_ktlint_None_paren-spacing,0.0045
results_ktlint_None_no-empty-class-body,0.0047
results_ktlint_None_comment-spacing,0.0070
results_ktlint_None_import-ordering,0.0074
results_ktlint_None_op-spacing,0.0093
results_ktlint_None_final-newline,0.0104
results_ktlint_None_indent,0.0127
results_ktlint_None_no-wildcard-imports,0.0137
results_ktlint_None_no-trailing-spaces,0.0212
results_ktlint_None_no-unit-return,0.0215
results_ktlint_None_no-multi-spaces,0.0227
results_ktlint_None_no-unused-imports,0.0323
