Variables;Importance
results_ktlint_None_chain-wrapping;-0.0304
results_ktlint_None_;-0.0265
results_ktlint_None_modifier-order;-0.0184
results_ktlint_None_no-unit-return;-0.0086
results_ktlint_None_curly-spacing;-0.0083
results_ktlint_None_dot-spacing;-0.0052
results_ktlint_None_colon-spacing;-0.0048
results_ktlint_None_no-empty-class-body;-0.0035
results_ktlint_None_no-line-break-after-else;-0.0021
results_ktlint_None_no-line-break-before-assignment;-0.0014
results_ktlint_None_no-semi;-0.0013
results_ktlint_None_no-trailing-spaces;-0.0012
results_ktlint_None_no-blank-line-before-rbrace;-0.0006
results_ktlint_None_comment-spacing;-0.0004
results_ktlint_None_paren-spacing;0.0003
results_ktlint_None_indent;0.0009
results_ktlint_None_op-spacing;0.0031
results_ktlint_None_no-unused-imports;0.0037
results_ktlint_None_keyword-spacing;0.0063
results_ktlint_None_range-spacing;0.0063
results_ktlint_None_parameter-list-wrapping;0.0089
results_ktlint_None_no-multi-spaces;0.0109
results_ktlint_None_string-template;0.0111
results_ktlint_None_final-newline;0.0128
results_ktlint_None_no-wildcard-imports;0.0134
results_ktlint_None_no-consecutive-blank-lines;0.0140
results_ktlint_None_comma-spacing;0.0149
results_ktlint_None_import-ordering;0.0356
